,번호,명칭,요약,출원일,출원인,독립 청구항수,전체 청구항수,국제특허분류,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,발명자수,발명자국가,출원인대표명,국가,연도,외국인용횟수
490,KR20110102174A,대출 중계 시스템 및 그 방법{System and Method for loan brokerage service},"본 발명은 인터넷을 이용한 대출중계 시스템과 방법에 관한 것으로, 특히 인터넷을 이용해 다수의 대출신청 고객과 대부자가 상호 정보를 활용하고, 이 정보를 검색하는 것으로 상호 대출조건에 맞는 대출거래가 이루어지도록 하는 대출중계 시스템과 그 방법에 관한 것이다. 특히 온라인으로 대출을 중개하는 대출중개 사이트에 접속하여 대출신청 고객에 의해 입력되는 대출신청정보와 희망대출신청정보를 수신하고, 상기 대출중개 사이트를 통해 대부자의 대출상품 정보를 수신하고, 상기 대출신청정보에 대해 복수의 대부자들로부터 대출승인정보를 상기 대출중개 사이트를 통해 수신하는 대출중계 서버로 이루어져 대출중개 사이트에 접속하여 대출상품정보를 다수의 고객들에게 제공하고, 상기 대출신청정보에 상응하는 대출금이 상기 대출 중개 사이트를 통해 상기 대출신청자의 계좌로 송금되도록 하는 대출중개 시스템에 관한 것이다. 복수의 대출자 단말기와, 상기 대출자 단말기 및 상기 대출자 단말기에게 상기 대출중개 사이트를 제공하여 상기 대출중개 사이트를 통해 수신 및 전송되는 상기 대출신청정보와 상기 대출상품정보 및 상기 대출승인정보를 관리하고, 상기 대출승인정보에 대응하여 승인된 상기 대출자 단말기로부터 송금되는 상기 대출금을 기 등록된 상기 대출자의 계좌로 송금하는 대출 중개 서버를 포함하여 이루어지는 대출 중계 시스템으로 이루어지되, 상기 대출 중계 시스템은 다수 대출자의 상기 희망대출신청정보로 공동대출희망정보를 생산하고, 상기 공동대출희망정보를 상기 대출자 단말에 제공해 상기 공동대출희망정보에 부합하는 공동대출상품을 상기 대출자 단말로부터 제공받아 상기 공동대출희망정보에 해당하는 상기 대출자에게 대출상품정보를 제공하여 대출이 이루어지는 것을 특징으로 하는 대출 중계 시스템에 관한 것이다.",2011.10.07,신유리,2,6,"['G06Q40', 'G06Q20']","KR20010096448A,KR20040068370A,KR20040099975A,KR20070092416A,KR20090103109A",,"KR20160029448A,KR20210011900A,KR20210126417A,KR20210126418A,KR2166744B1",5,5,,1,['KR'],신유리,KR,2011,0
491,KR20110089344A,매입임대주택자금을 기초자산으로 한 중도금 대출 시스템 및 방법{MIDDLE PAYMENT LOAN SYSTEM AND METHOD USING LEASE HOUSING FUNDS AS BASIC ASSETS},"본 발명은 매입임대사업자가 미분양 아파트를 분양받을 때 준공 후 받을 수 있는 매입임대주택자금을 기초자산으로 금융기관으로부터 중도금을 대출받아 분양대금으로 납부한 후 분양 목적물이 완성된 후 매입임대주택자금을 받아 기 납부한 중도금을 상환하는 매입임대주택자금을 기초자산으로 한 중도금 대출 시스템 및 방법에 관한 것이다. 이에 따른, 본 발명은 매입임대사업자가 매입임대주택자금을 기초자산으로 금융권에서 자금을 조달할 수 있음으로 매입에 대한 의사결정이 빨라지고 실제 거주할 임차인에게도 건설 중에 임차에 관한 의사결정을 할 수 있으므로 준공 시 바로 입주가 가능한 효과가 있고, 미분양 시점과 준공 시점 사이의 시차만 줄여 미분양을 분양으로 바꿀 수 있어서 시공사(시행사) 입장에서 자금압박을 해결하는 효과가 있음은 물론 주택분양시장에 활력을 가하는 효과가 있다.",2011.09.05,김병천,2,5,"['G06Q40', 'G06Q50']","KR1043312B1,KR20020029186A,KR20060002341A,KR20070025646A",JP2004206488 A,"KR1829653B1,KR20140134493A,KR20150008722A,KR20150024573A,KR20160098041A",4,5,,1,['KR'],김병천,KR,2011,1
492,KR20110084192A,금융 기관의 사업장 평가를 이용하는 대출 여신 심사 시스템 및 대출 여신 심사 방법{System for examining credit loan using business place evaluation in financial institution and method thereof},"본 발명은 금융 기관의 사업장 평가를 이용하는 대출 여신 심사 방법으로서, 홈페이지를 이용하여 고객의 여신 신청을 수신하여 여신 신청 정보를 DB에 저장하는 수단; 신용 정보사 서버를 상대로 신용 조회하는 가조회를 수행하여 대출 적격자를 선별하는 수단; 현장 실사자 이동통신단말로 가조회를 통과한 고객의 사업장 정보를 전송하여 현장 실사를 지시하고, 현장 실사를 통해 작성된 실사 보고서를 전송받아 업장 평가 정보로 저장하는 수단; 상기 업장 평가 정보를 사업장의 대출 상환 능력(수익성)의 평가 기준인 사업장 평점표 및 고객의 대출 상환 신용도 평가 기준인 거래 실적 평점표를 포함하는 내부 신용 평가 기준과 비교하여 예비 금리/한도를 산출하는 수단; 심사자 단말로 여신 신청 정보, 신용 조회 결과 정보, 업장 평가 정보, 예비 금리/한도 및 내부 신용 평가 기준을 제공하여 본심사 결과를 등록받는 수단; 본심사에 의하여 대출 적격자로 선별되는 경우 내부 신용 평가 기준과 비교하여 확정 금리/한도를 산출하는 수단; 및 본심사 내용과 산출된 확정 금리/한도를 등록한 후 대출 승인 결과를 고객의 통보 수단으로 통보하는 수단을 포함한다.",2011.08.23,주식회사 미래저축은행,2,11,"['G06Q40', 'G06Q20']","KR20010096448A,KR20050025207A,KR20060029168A,KR20100078682A",,"KR1612712B1,KR1627526B1,KR1688619B1,KR1770379B1,KR20140123655A,KR20150091686A,KR20160029448A,KR20160088094A,KR20160123869A,KR20190002210A,KR20200061245A,KR20200098768A,KR20200119147A,KR2119713B1,KR2311345B1",4,15,,2,['KR'],주식회사 미래저축은행,KR,2011,0
493,KR20120156857A,자동차 대출 보험 시스템 및 그것의 조사 기관 서버 및 은행 서버{AUTO LOAN INSURANCE SYSTEM AND SEARCH COMPANY SERVER AND BANK SERVER THEREOF},"본 발명은 자동차 대출 보험 시스템과 그것의 조사 기관 서버 및 은행 서버에 관한 것이다. 본 발명의 실시 예에 따른 자동차 대출 보험 시스템은 자동차 구매시 자동차 구매자와 자동차 판매 영업소 사이에 체결된 자동차 구매 계약의 유효성을 조사하는 조사 기관 서버를 포함하며, 상기 조사 기관 서버는 상기 자동차 구매 계약에 기재된 자동차 구매자와 자동차 구매 대금의 대출을 신청한 대출 신청자가 일치하는지의 여부를 확인하는 신원 확인부 및 상기 자동차 구매 계약에 따라 출고된 차량이 차량등록원부에 등록되었는지의 여부를 확인하는 구매 계약 확인부를 포함한다. 본 발명의 실시 예에 따른 자동차 대출 보험 시스템은 자동차 구매시 부족한 금액을 은행 등으로부터 대출받고자 할 때 자동차 구매 계약의 유효성 및 대출 금액을 보험을 통하여 보증함으로써, 자동차 구매자가 별도의 금융 대출 없이도 자동차 구매를 가능하게 한다.",2012.12.28,(주)바이릿지,2,6,['G06Q40'],"KR20000036572A,KR20020022635A,KR20060106082A,KR20090124555A",,"KR20170059233A,KR20190103905A",4,2,,2,['KR'],(주) 바이릿지,KR,2012,0
494,KR20110068647A,스마트 기기의 푸시 알림 기능을 이용한 대출 중개 서비스 제공 방법{LOAN MEDIATING SERVICE PROVIDING METHOD USING PUSH ALARM OF SMART DEVICE},"본 발명은 스마트 기기의 푸시 알림 기능을 이용한 대출 중개 서비스 제공 방법에 관한 것으로서, 보다 구체적으로는 대출 중개 서비스를 제공하는 서비스 제공 서버가, (1) 대출 중개를 위한 애플리케이션 프로그램이 설치된 스마트 기기로부터 대출 신청 정보를 입력받는 단계; (2) 상기 입력받은 대출 신청 정보에 맞는 대출 업체를 선정하는 단계; (3) 상기 대출 신청 정보를 상기 선정한 대출 업체 서버에 전송하는 단계; (4) 상기 대출 업체 서버로부터 대출 가능한 대출 상품 정보를 수신하는 단계; 및 (5) 상기 수신한 대출 상품 정보를 상기 스마트 기기에 전송하며, 상기 대출 상품 정보의 수신 사실을 상기 스마트 기기에 푸시 알림으로 출력하는 단계를 포함하는 것을 그 구성상의 특징으로 한다. 본 발명에서 제안하고 있는 스마트 기기의 푸시 알림 기능을 이용한 대출 중개 서비스 제공 방법에 따르면, 서비스 제공 서버가 대출 중개를 위한 애플리케이션 프로그램이 설치된 스마트 기기를 이용하여 대출을 중개함으로써, 급격히 증가하고 있는 스마트 기기 사용자들을 고객으로 유치할 수 있고, 다수의 금융 기관을 고객이 직접 방문하지 않고서도 편리하게 대출 신청 정보를 입력하고 대출 상품 정보를 수신할 수 있으며, 대출 상품 정보 수신을 스마트 기기의 푸시 알림 기능을 이용하여 출력함으로써 고객이 대출 가능 여부를 신속하고 편리하게 확인할 수 있다. 또한, 본 발명에 따르면, 서비스 제공 서버가 대출 상품 정보의 분석을 통해 고객에게 적합한 최적 대출 상품을 선정하여 스마트 기기에 전송함으로써, 고객 맞춤형 서비스를 제공하고 고객 만족도를 향상시킬 수 있으며, 대출 신청 정보에 맞는 대출 업체를 선정하여 선정된 대출 업체에만 대출 신청 정보를 전송함으로써, 고객 정보를 체계적으로 보호하고 신용 조회 횟수를 현저하게 줄여 고객의 신용도에 문제가 발생하지 않도록 할 수 있다.",2011.07.11,최원국,1,9,"['G06Q40', 'H04W4', 'H04W76']","KR20040093581A,KR20040100295A,KR20050094694A,KR20090013291A,KR20100101546A",,"KR20150056012A,KR20160021580A,KR20180119674A,KR20200042731A",5,4,,1,['KR'],최원국,KR,2011,0
495,KR20110065802A,부동산 담보 대출 서비스 시스템 및 방법{SYSTEM AND METHOD FOR PROVIDING MORTGAGE LOAN SERVICE},"본 발명은 부동산 담보 대출 서비스 시스템 및 방법에 대하여 공개한다. 이 시스템은 공인 인증 절차를 요구하고 인증 절차가 완료되면, 고객의 개인 신상 정보를 얻고, 대출 가능 금액 및 금리 조회 서비스, 및 대출 실행 서비스를 제공하고, 개인 신상 정보를 이용하여 고객의 소득 정보 및 신용 평가 정보를 얻고, 대출 가능 금액 및 금리 조회 서비스가 요청되는 경우에 부동산 주소가 입력되면 부동산 주소의 부동산 시세정보, 신용 평가 정보, 고객의 소득 정보, 및 부동산 주소의 부동산 등기부 등본의 담보 정보에 기초하여 대출 가능 금액 및 금리를 계산하고, 대출 실행 서비스가 요청된 경우에 대출 가능 금액에 기초한 대출 금액 및 입금 계좌 번호가 전송되고, 위임장 및 담보설정 계약서가 작성되면 부동산 담보설정 등록을 요청하는 은행 서버, 및 공인 인증 절차가 요구되면, 인증 절차를 수행하고, 대출 가능 금액 및 금리 조회 서비스를 요청한 경우에, 대출 가능 금액 및 금리를 제공받고, 대출 실행 서비스를 요청한 경우에, 부동산 주소, 대출 금액 및 입금 계좌 번호를 전송하고, 위임장 및 담보설정 계약서를 작성하여 전송하는 단말기로 구성되어 있다.",2011.07.04,주식회사 우리은행,2,20,"['G06Q40', 'G06Q50']","KR20040013055A,KR20070007414A,KR20080035820A,KR20090002521A",아시아 경제 20110111,KR2389877B1,4,1,,4,['KR'],주식회사 우리은행,KR,2011,1
496,KR20110058695A,신용카드 조회기 및 가맹점 매출 정보를 이용한 대출 방법{LOAN METHOD USING CREDIT CARD READER AND REVENUE INFORMATION},"본 발명은 신용카드 조회기 및 가맹점 매출 정보를 이용한 대출 방법에 관한 것이다. 본 발명에 따르면 가맹점 사업자가 VAN 서버를 통해 금융사에 대출 요청을 하는 신용카드 조회기를 이용하여 용이하게 대출을 받고, 금융사는 VAN 서버로부터 가맹점 매출 정보를 수신하여 획득한 객관적인 신용정보에 따라 대출을 하는 것이 가능하다.",2011.06.16,주식회사 케이에스넷,1,10,"['G06Q40', 'G06Q20']","KR20010088970A,KR20020017577A,KR20020035686A,KR20050030417A,KR20070100458A,KR20080104404A",,KR20200111379A,6,1,,2,['KR'],주식회사 케이에스넷,KR,2011,0
497,KR20120119341A,온라인 금전 소비대차 제공 방법{Method for Providing Online Loan for Consumption},"본 발명의 온라인 금전 소비대차 제공 방법에 따르면, 서버에 의해 실행되는 온라인 금전 소비대차 제공 방법에 있어서, 금전 소비차주 고객의 단말과 통신하여 상기 금전 소비차주 고객의 공인인증서를 이용한 금전 소비차주 고객을 인증한 결과를 확인하고, 상기 인증된 금전 소비차주 고객의 단말로부터 상기 금전 소비차주 고객이 확인한 금전 소비대차 조건정보와 상기 금전 소비차주 고객에 의해 확인된 금전 소비대차 조건에 대한 상기 금전 소비차주 고객의 확약정보를 수신하고, 상기 금전 소비차주 고객의 확약정보가 수신된 경우에 한하여 상기 금전 소비차주 고객과 금전 소비대차 계약을 체결할 금전 소비대주 정보와 상기 금전 소비차주 고객정보 및 상기 확약정보와 함께 수신된 금전 소비대차 조건정보를 매핑하여 저장매체에 저장하며, 상기 금전 소비차주 고객의 확약정보는, 상기 금전 소비차주 고객의 공인인증서를 통해 상기 금전 소비대차 조건정보에 첨부되는 전자서명을 포함한다.",2012.10.25,주식회사 비즈모델라인,1,3,"['G06Q40', 'G06Q20']","KR20020032940A,KR20020057903A",,,2,0,,3,['KR'],주식회사 비즈모델라인,KR,2012,0
498,KR20110053421A,마이너스 대출기반 정기예금 운용방법{Management method of a time deposit based on minus-loan},"본 발명은 마이너스 대출기반 정기예금 운용방법에 관한 것으로, 정기예금의 가입 요청에 따라 고객이 제공한 고객 가입금을 파악하는 단계와 상기 통장관리 서버는 상기 고객 가입금에 대응하는 대출 가입금을 파악하는 단계와 상기 대출 가입금에 상응하는 마이너스 대출을 고객의 요구불통장에 부여하는 단계, 그리고 상기 통장관리 서버는 상기 고객 가입금과 상기 대출 가입금을 가입금으로 하여 상기 정기예금의 계좌를 생성하는 단계를 포함하되, 상기 마이너스 대출은 상기 제1 정기예금의 해지 또는 만기시에 해지되는 것에 관한 것이다.",2011.06.02,서경옥,2,2,['G06Q40'],,,"KR1546063B1,KR1665408B1,KR1681767B1,KR1699536B1,KR1702858B1",0,5,,2,['KR'],서경옥,KR,2011,0
499,KR20110031988A,부동산담보대출 방법 및 대출 관리 시스템{A METHOD FOR REAL ESTATE MORTGAGE LOAN AND LOAN MANAGEMENT SYSTEM},"본 발명은, 금리 결정부가 여신거래조건 정보를 이용하여 대출종류를 판단하며, 상기 판단 결과, 대출종류가 건별대출인 경우 상기 금리 결정부가 금리설정 정보를 이용하여 코픽스(COFIX) 혼합금리를 산출하고, 상기 금리 결정부가 상기 여신거래조건 정보 및 상기 코픽스(COFIX) 혼합금리를 이용하여 대출금리를 결정하며, 수신부가 단말기로부터 코픽스(COFIX) 혼합비율 변경정보를 수신하고, 상기 금리 결정부가 상기 코픽스(COFIX) 혼합비율 변경정보를 이용하여 상기 결정된 대출금리를 변경하며, 대출 실행부가 상기 변경된 대출금리를 이용하여 대출이자를 산출하는 것을 특징으로 하는 부동산담보대출 방법을 제시한다.",2011.04.07,주식회사 우리은행,2,15,"['G06Q40', 'G06Q50']","httpwww2enewstodaycokrsubreadhtmluid243596sectionsc3,httpwwwasiaecokrnewsviewhtmidxno2010080100351495669mobileY,KR20040033566A,KR20090001646A,KR20100055854A,KR20100102031A,우리 주택담보대출 코픽스 혼합금리 도입아시아경제 20100801 httpwwwasiaecokrnewsviewhtmidxno2010080100351495669mobileY,우리은행고객 지향형 주택담보대출 상품 선보인다enewstoday 20110401 httpwww2enewstodaycokrsubreadhtmluid243596sectionsc3","기사2010,학술지2010",,8,0,,2,['KR'],주식회사 우리은행,KR,2011,2
500,KR20110023789A,온라인 고객 맞춤 대출 중개 시스템 및 방법{ON-LINE LOAN INTERMEDIATION SYSTEM AND METHOD},"인터넷상에서 소비자가 직접 대출 상품을 조회 검색하여 자신의 대출 서류를 온라인상으로 암호화 저장 서비스를 이용하여 등록 한 후, 자신의 직군 현 부채 능력 등을 계산하여 가능한 대출 상품과 연동하여 주는 서비스로 현존하는 모든 대출 상품이 대출 중계 시스템과 연동이 가능하며, 연동된 상품에 대출을 신청 한 후 그 과정을 실시간으로 확인 가능하며 부결 시 그 원인을 본인이 직접 확인하여 다른 상품과 실시간으로 추가 작업 없이 원클릭 신청이 가능한 온라인 고객 맞춤 대출 중개 시스템 및 방법에 관한 것으로, 대출을 원하는 고객의 사용자 단말기, 고객 및 대출업체에 관한 정보를 저장하는 데이터베이스, 고객이 원하는 대출을 실행하는 다수의 대출업체 서버, 고객이 원하는 대출 상품을 관리하는 대출 중계 서버 및 상기 사용자 단말기와 상기 대출 중계 서버를 연결하는 네트워크를 포함하는 구성을 마련한다. 상기와 같은 온라인 고객 맞춤 대출 중개 시스템 및 방법을 이용하는 것에 의해, 대출 진행자가 직접 대출을 진행하므로 개인 정보 유출을 방지하고 자신이 신용등급을 직접 관리하며 대출을 진행할 수 있으며, 불법적인 대출 수수료를 지불하지 않고도 손쉽게 대출을 받을 수 있으며, 대출이 필요한 사람이 직접 알아보고 선택하여 대출을 받을 수 있다는 사회적인 분위기를 형성할 수 있다는 효과가 얻어진다.",2011.03.17,정지응,3,3,"['G06Q40', 'G06Q30']",,,"KR1520406B1,KR20150091686A,KR20160020314A,KR20180129031A,KR20190094399A",0,5,,1,['KR'],정지응,KR,2011,0
501,KR20120085351A,은행 대출 및 신용카드의 연계 금융 상품을 제공하는 금융 시스템 및 그 운용 방법{Financing system for providing bank loan service linked with credit card and method of operating the system},"본 발명은, 은행 서버와 신용카드사 서버 간의 네트워크에 기반한 금융 시스템에 관한 것이다. 본 발명은, 은행 서버 및 상기 신용카드사 간에 연계된 대출상품에 대한 승인 자격을 심사하여 통과한 고객을 위하여, 대출상품에 따른 신용카드 상품을 제공하도록 하는 요청을 신용카드사로 전송하고, 신용카드의 결제대금 납부를 위한 대출계좌를 개설하고, 결제대금의 결제일에 대출계좌의 현재 잔액에 따라 대출계좌의 현재 잔액 및 대출금 중 적어도 하나를 선택적으로 이용하여 신용카드사 서버로 결제대금을 송금하는 은행 서버, 및 은행 서버의 요청에 따라 고객에게 신용카드 상품을 제공하고, 결제일에 은행 서버로부터 대출계좌를 통하여 결제대금을 회수하는 신용카드사 서버를 포함하는, 은행 서버와 신용카드사 서버 간의 네트워크에 기반한 금융 시스템을 개시한다.",2012.08.03,주식회사 신한은행,2,16,"['G06Q40', 'G06Q20']","KR20030005951A,KR20030082181A,KR20050109712A,KR20060128808A",,"KR20140060900A,KR20200107562A,KR20200119700A",4,3,,2,['KR'],주식회사 신한은행,KR,2012,0
502,KR20120052328A,가맹점거래평가모형에 의한 상호 역경매 방식의 신용카드 매출채권 담보부 대출서비스 제공 방법{The mutual reverse auction type loan service delivery method with credit card receivables as collateral by the merchants and transaction evaluation model},"신용카드 매출채권 담보 대출서비스에 있어서 여신사에게는 회수 위험(Risk)을 축소하고 대출자에게는 낮은 이자율을 확보하기 위한, 신용카드 오프라인 카드결제 가맹점 및 인터넷상의 온라인 쇼핑몰 거래의 가맹점거래평가모형 및 가맹점과 여신사가 상호 대출 역경매 방식에 관한 것으로서 보다 상세하게는 통신망을 통해 신용카드가맹점 단말기로부터 VAN사 서버에 신용카드 승인요청이 전송됨에 따라 카드회사의, 대표가맹점 혹은 PG(Payment Gateway 지불결제사업자)의 승인에 따라 신용카드 매출거래가 이루어지고 그 거래 자료를 담보로 하여 여신사에서 신용카드 매출채권 담보부 대출서비스를 제공하는 방법에 있어서; 카드 거래승인의 취소가 수시로 발생하며 허위의 거래, 중복 거래가 발생할 수도 있으며 카드사 및 대표가맹점 혹은 PG로부터 가맹점에 대한 결제가 제대로 이루어지지 않을 경우에는 상기 대출서비스를 제공한 여신사로서는 대여금이 회수가 되지 않는다는 심각한 타격을 입을 수 있으므로 상기 대출서비스를 시행함에 있어서 이를 중재하는 대출중재자서버에 실시간 가맹점거래평가데이타베이스를 두고 이를 통하여 가맹점과 각 발생거래를 즉시 평가한 후에 그 평가를 거친 거래에 한정하여 신용카드 매출 담보부 대출을 실시하거나 나중에 발생할 수도 있는 여신사의 대여금 회수 위험을 축소하는 방법을 제공하여 이를 바탕으로 여신사의 참여를 확대하도록 하며; 상기 가맹점거래평가모형을 만드는데 있어서 대출희망자 가맹점들이 직접 참여해서 자신들의 평가기초자료를 직접 작성하여 중간에 대출 중개업체 혹은 대출모집인 개입을 원천적으로 배제하여 대출중개수수료 부담없이 직접 여신사에 대출 역경매를 제안하면 대출중재자서버가 상기 대출 역경매 제안사항에 중재자서버의 가맹점거래평가모형에 의한 가맹점평가자료를 첨부하여 여신사에게 공시하면 그 자료를 바탕으로 검토한 여신사들이 다시 대출 역경매 방식으로 해당 가맹점에 대출서비스 제공 역경매를 제안하는 일련의 과정을 통하여 가맹점은 좀더 대출이자율이 낮고 안정적인 여신사에서 대출서비스를 자의로 선택하여 제공받을 수 있는 잇점이 있으며 여신사는 수시로 갱신되는 가맹점거래평가모형에 의한 가맹점평가자료를 바탕으로 대여금 회수 위험을 축소할 수 있으므로 대출 참여를 확대할 수 있다. 이때 대출중재자서버의 가맹점거래평가모형은 정태적으로 가맹점의 자산이나 신용상태 평가보다는 동태적으로 카드 매출채권 등 주로 가맹점의 현금흐름 정보를 바탕으로 평가하여 구축하는 것을 그 특징으로 한다.",2012.05.17,주식회사 하이드|홍승익,1,4,"['G06Q40', 'G06Q30', 'G06Q20']","KR20020073101A,KR20030068326A,KR20120034178A",,KR20170040727A,3,1,,1,['KR'],주식회사 하이드|홍승익,KR,2012,0
503,KR20110001903A,자동차 대출 보험 시스템 및 그것의 조사 기관 서버 및 은행 서버{AUTO LOAN INSURANCE SYSTEM AND SEARCH COMPANY SERVER AND BANK SERVER THEREOF},"본 발명은 자동차 대출 보험 시스템과 그것의 조사 기관 서버 및 은행 서버에 관한 것이다. 본 발명의 실시 예에 따른 자동차 대출 보험 시스템은 자동차 구매시 자동차 구매자와 자동차 판매 영업소 사이에 체결된 자동차 구매 계약의 유효성을 조사하는 조사 기관 서버를 포함하며, 상기 조사 기관 서버는 상기 자동차 구매 계약에 기재된 자동차 구매자와 자동차 구매 대금의 대출을 신청한 대출 신청자가 일치하는지의 여부를 확인하는 신원 확인부 및 상기 자동차 구매 계약에 따라 출고된 차량이 차량등록원부에 등록되었는지의 여부를 확인하는 구매 계약 확인부를 포함한다. 본 발명의 실시 예에 따른 자동차 대출 보험 시스템은 자동차 구매시 부족한 금액을 은행 등으로부터 대출받고자 할 때 자동차 구매 계약의 유효성 및 대출 금액을 보험을 통하여 보증함으로써, 자동차 구매자가 별도의 금융 대출 없이도 자동차 구매를 가능하게 한다.",2011.01.07,(주)바이릿지,3,12,"['G06Q40', 'G06Q30']","KR20000036572A,KR20010095908A,KR20020022635A,KR20020025155A,KR20060106082A,KR20090124555A",,"KR20140098616A,KR20160126724A",6,2,,2,['KR'],(주) 바이릿지,KR,2011,0
504,KR20100131037A,대출 서비스 제공 시스템 및 방법{System and method for loan service},"사용자로부터 요청된 대출 신청을 처리하여 대출 금액을 산출하고, 산출한 대출 금액을 토대로 대출 서비스 제공 시스템과 연동되어 있는 보험 제공 시스템에 사용자에 대한 보험 가입을 요청한다. 보험 제공 시스템으로부터 사용자에 대한 보상 정보를 수신하면, 보상 정보 내에 포함된 보상금을 토대로 사용자에 대한 대출 정보를 갱신하고, 대출 정보에 따라 사용자에 대한 보험 효력 지속 여부를 확인한다. 이를 통해 사용자에게 대출 서비스와 보험 서비스를 함께 제공할 수 있으며, 사용자가 대출 금액의 상환이 불가능한 상황에 놓이더라도 보험금으로 대출 금액을 면제할 수 있도록 한다.",2010.12.20,주식회사 신한은행,4,22,['G06Q40'],"KR20010082393A,KR20030044836A,KR20040094035A,KR20090103109A",,"KR1747141B1,KR20220045805A",4,2,,1,['KR'],주식회사 신한은행,KR,2010,0
505,KR20100116268A,학원 대출 시스템{ACADEMY LOAN SYSTEM},본 발명은 합리적인 학원 대출 시스템을 제공한다.,2010.11.22,박근영,1,1,"['G06Q40', 'G06Q20', 'G06Q50']","KR20010099419A,KR20040009039A",,,2,0,,1,['KR'],박근영,KR,2010,0
506,KR20100104586A,접철식 유아시트를 구비한 자동차용 리어시트{The automatic borrowing rear seat which composes the infantile seat which folds},"본 발명은 접철식 유아시트를 구비한 자동차용 리어시트에 관한 것으로, 더욱 상세하게는 승객이 앉는 리어좌석부와 승객의 등을 바치는 리어등받이부로 구성하되, 상기 리어등받이부의 중앙부에는 소정크기의 수납 공간을 형성한 수납부와, 상기 수납부의 크기에 상응하는 면적을 갖고, 수납부의 하단에 힌지로 결합하는 덮개와, 상기 덮개의 일측면에 구성되어 유아를 앉히는 유아시트를 포함하여 구성하는데, 상기 유아시트는 유아등받이가 회동축을 축으로 유아좌석으로 절첩하도록 구성하고, 상기 유아시트가 차량의 속도를 검출하여 전/후 왕복 운동하도록 하며, 상기 유아시트에 'X'자형 안전벨트를 포함해 유아가 장시간 차량에 탑승해도 피로감을 덜 느끼게 함은 물론 차량의 급회전시나 차량의 충돌 및 추돌에도 유아의 안전을 확보하고, 특히 유아시트를 별도의 설치과정 없이 리어등받이부에 구비한 유아시트를 선택적으로 사용하도록 함으로써 좁은 자동차의 시트공간을 최대로 활용할 수 있으며, 자동차가 가속 후 정지할 시 유아시트가 전/후 왕복으로 요동해 유아가 정서적으로 안정감을 취함과 더불어 놀이를 즐길 수 있는 접철식 유아시트를 구비한 자동차용 리어시트를 제공한다.",2010.10.26,최신학,1,5,['B60N2'],"KR19970031631U,KR19970036494A","JP07101278 A,JP07101278 A,JP07186798 A,JP08175244 A,JP09220954 A,JP09220954 A,일본 공개특허공보 특개평09220954호19970826 1부","KR1747876B1,KR20170121229A",2,2,,1,['KR'],최신학,KR,2010,7
507,KR20120022966A,온-오프라인 대출 서비스 방법 및 이를 위한 금융 서버{METHOD FOR ON-OFF LINE LOAN SERVICE AND FINANCIAL SERVER FOR THE SAME},"금융 서버가 온-오프라인 대출 서비스를 제공하는 방법은 직원 단말로부터 신청 대출금액 및 고객의 재정 정보를 포함하는 대출 심사 요청을 수신하는 단계, 상기 고객의 재정 정보 및 신용 정보를 기반으로 상기 고객에 대한 대출가능 여부를 판단하는 단계, 상기 고객에 대해 대출이 가능하고, 상기 고객의 재직 확인 완료가 등록되면 상기 고객을 대출 예정자로 등록하는 단계, 상기 대출 예정자로 등록된 고객의 고객 단말로부터 대출을 위한 약정서 및 상기 약정서에 대한 공인인증서 인증을 수신하는 단계, 및 상기 고객의 대출계좌에 대출금을 입금 처리하는 단계를 포함한다. 온-오프라인 대출 서비스를 통하여, 고객이 대출 서비스를 제공받기 위해 여러 번 금융기관을 방문하여야 하고 다수의 약정서를 반복하여야 하는 불편함을 해결할 수 있다.",2012.03.06,주식회사 신한은행,3,26,"['G06Q40', 'G06Q30', 'G06Q20']","KR20020000399A,KR20020025155A,KR20020066497A,KR20040076152A,KR20060085134A,KR20060085765A,KR20090002521A,KR20090003449A,KR20100024463A,KR20110041929A",,"KR20140142465A,KR2116255B1,KR2125355B1",10,3,,1,['KR'],주식회사 신한은행,KR,2012,0
508,KR20100099785A,대출 시스템 및 그의 대출 방법{DEVICE AND METHOD FOR MANAGING LOAN},"본 발명에 따른 대출 관리 장치는 사용자 단말에게 대출 상품에 대한 정보를 게시하는 서비스 게시부, 상기 사용자 단말로부터 상기 대출 상품에 대한 이율 조정 신청을 수신하는 수신부, 그리고 상기 이율 조정 신청에 따라 선택된 감면 기간에 대한 이율을 감면하는 이율 설계부를 포함한다.",2010.10.13,주식회사 하나은행,3,22,"['G06Q40', 'G06Q20']","KR20020044669A,KR20040013055A,KR20070007414A,KR20090002521A,KR20090060066A,KR20090106367A",,,6,0,,3,['KR'],주식회사 하나은행,KR,2010,0
